CNo,,ON,OFF,MA,IP,SV,UP,DN,LN,LP,STEP,PL,V,HP,PP,C,S,L,AL,JS,JM,OC,LD,粗糙度Ra,余量Gap
C139,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C140,=,180,20,1,50,60,10,20,301,0,0,+,1,51,10,0,3,1,15,3,2,0,0,,
C141,=,180,20,2,55,70,10,20,301,0,0,+,1,51,1,0,3,1,15,3,2,0,0,,
C142,=,180,20,2,55,60,10,20,301,0,0,+,1,51,11,0,3,1,15,3,2,0,0,,
C143,=,160,50,0,50,45,10,20,301,0,0,+,1,11,10,0,3,1,15,3,2,0,0,,
C144,=,140,60,0,50,60,10,20,301,0,0,+,1,11,10,0,3,1,15,3,2,0,0,,
C145,=,100,40,0,55,60,10,20,301,0,0,+,1,11,10,0,3,1,15,3,2,0,0,,
C146,=,0,0,0,0,0,10,20,0,0,0,+,0,,0,0,3,0,15,0,0,0,0,,
C147,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C148,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C149,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C150,=,210,30,1,60,60,10,20,301,0,0,+,1,51,10,0,3,1,15,3,2,0,0,,
C151,=,210,30,2,65,70,10,20,0,0,0,+,1,51,1,0,3,1,15,1,0,0,0,,
C152,=,210,30,2,65,60,10,20,0,0,0,+,1,71,11,0,3,1,15,1,0,0,0,,
C153,=,200,60,0,60,45,10,20,0,0,0,+,1,11,10,0,3,1,15,1,0,0,0,,
C154,=,180,70,0,60,60,10,20,0,0,0,+,1,11,10,0,3,1,15,1,0,0,0,,
C155,=,120,16,2,65,60,10,20,0,0,0,+,1,11,10,0,3,1,15,1,0,0,0,,
C156,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C157,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C158,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C159,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C160,=,250,30,1,70,60,10,20,301,0,0,+,1,51,10,0,3,1,15,3,2,0,0,,
C161,=,250,30,2,75,70,10,20,0,0,0,+,1,51,1,0,3,1,15,1,0,0,0,,
C162,=,250,30,2,75,60,10,20,0,0,0,+,1,71,11,0,3,1,15,1,0,0,0,,
C163,=,260,70,0,70,45,10,20,0,0,0,+,1,11,10,0,3,1,15,1,0,0,0,,
C164,=,240,90,0,70,60,10,20,0,0,0,+,1,11,10,0,3,1,15,1,0,0,0,,
C165,=,140,18,0,75,60,10,20,0,0,0,+,1,11,10,0,3,1,15,1,0,0,0,,
C166,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C167,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C168,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C169,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C170,=,350,30,1,100,60,10,20,301,0,0,+,1,11,10,0,3,1,15,3,2,0,0,,
C171,=,350,30,2,105,70,10,20,0,0,0,+,1,11,1,0,3,1,15,1,0,0,0,,
C172,=,350,30,2,105,60,10,20,0,0,0,+,1,31,11,0,3,1,15,1,0,0,0,,
C173,=,320,80,0,100,45,10,20,0,0,0,+,1,11,10,0,3,1,15,1,0,0,0,,
C174,=,300,100,0,100,60,10,20,0,0,0,+,1,11,10,0,3,1,15,1,0,0,0,,
C175,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C176,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C177,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C178,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C179,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C180,=,550,30,1,150,60,10,20,301,0,0,+,1,11,10,0,3,1,15,3,2,0,0,,
C181,=,550,30,2,155,70,10,20,0,0,0,+,1,11,1,0,3,1,15,1,0,0,0,,
C182,=,550,30,2,155,60,10,20,0,0,0,+,1,31,11,0,3,1,15,1,0,0,0,,
C183,=,380,90,0,150,45,10,20,0,0,0,+,1,11,10,0,3,1,15,1,0,0,0,,
C184,=,360,110,0,150,60,10,20,0,0,0,+,1,11,10,0,3,1,15,1,0,0,0,,
C185,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C186,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C187,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C188,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C189,=,0,0,0,0,0,10,20,0,0,0,+,0,0,0,0,3,0,15,0,0,0,0,,
C190,=,800,50,1,200,60,10,20,301,0,0,+,1,10,20,0,3,1,15,3,2,0,0,,
C191,=,800,50,2,205,70,10,20,0,0,0,+,1,11,1,0,3,1,15,1,0,0,0,,
